# 1D Sod shock tube solution
# scheme = muscl
# nsteps = 221
# time =     0.2500000000
x,rho,u,p,E
    0.83500000,  2.6525978521E-01,  9.2344299963E-01,  3.0204077898E-01,  8.6820168696E-01
    0.84000000,  2.6516068802E-01,  9.2365531476E-01,  3.0208625706E-01,  8.6832512340E-01
    0.84500000,  2.6546599962E-01,  9.2633787112E-01,  3.0291484169E-01,  8.7118553712E-01
    0.85000000,  2.6608128477E-01,  9.3007958254E-01,  3.0411110273E-01,  8.7536430240E-01
    0.85500000,  2.6605432731E-01,  9.3058510202E-01,  3.0420744753E-01,  8.7571863032E-01
    0.86000000,  2.6586394165E-01,  9.3057899573E-01,  3.0414873816E-01,  8.7548791024E-01
    0.86500000,  2.6515619323E-01,  9.2730834554E-01,  3.0303215192E-01,  8.7158438686E-01
    0.87000000,  2.6458478157E-01,  9.2397135277E-01,  3.0190105327E-01,  8.6769369795E-01
    0.87500000,  2.6458956474E-01,  9.2371355782E-01,  3.0180826047E-01,  8.6740074254E-01
    0.88000000,  2.6481624886E-01,  9.2410284400E-01,  3.0193591788E-01,  8.6791183987E-01
    0.88500000,  2.6579223198E-01,  9.2795585618E-01,  3.0321972539E-01,  8.7248643419E-01
    0.89000000,  2.6638825970E-01,  9.3054630685E-01,  3.0408335428E-01,  8.7554337101E-01
    0.89500000,  2.6644290370E-01,  9.3071780900E-01,  3.0412962591E-01,  8.7572523438E-01
    0.90000000,  2.6632994119E-01,  9.3014039048E-01,  3.0392770467E-01,  8.7502842025E-01
    0.90500000,  2.6527939449E-01,  9.2549317651E-01,  3.0236482875E-01,  8.6952296245E-01
    0.91000000,  2.6466524323E-01,  9.2319439751E-01,  3.0159143799E-01,  8.6676408657E-01
    0.91500000,  2.6459301815E-01,  9.2319641674E-01,  3.0158839091E-01,  8.6672618383E-01
    0.92000000,  2.6488351477E-01,  9.2511711185E-01,  3.0223082635E-01,  8.6892624077E-01
    0.92500000,  2.6497172462E-01,  9.2599366131E-01,  3.0248518070E-01,  8.6981484373E-01
    0.93000000,  2.6193366988E-01,  9.0982406538E-01,  2.9746229936E-01,  8.5206745275E-01
    0.93500000,  2.1935639188E-01,  7.0205661308E-01,  2.3361031758E-01,  6.3808436573E-01
    0.94000000,  1.3729753992E-01,  1.1763525310E-01,  1.1626087690E-01,  2.9160215756E-01
    0.94500000,  1.2570798612E-01,  6.3431056246E-03,  1.0084050848E-01,  2.5210380013E-01
    0.95000000,  1.2503698998E-01,  3.1835925369E-04,  1.0004211722E-01,  2.5010529938E-01
    0.95500000,  1.2500185877E-01,  1.5808696371E-05,  1.0000209130E-01,  2.5000522826E-01
    0.96000000,  1.2500009276E-01,  7.8631286574E-07,  1.0000010402E-01,  2.5000026005E-01
    0.96500000,  1.2500000462E-01,  3.9134018226E-08,  1.0000000518E-01,  2.5000001294E-01
    0.97000000,  1.2500000023E-01,  1.9494576657E-09,  1.0000000026E-01,  2.5000000064E-01
    0.97500000,  1.2500000001E-01,  9.7515247914E-11,  1.0000000001E-01,  2.5000000003E-01
    0.98000000,  1.2500000000E-01,  5.8609163696E-12,  1.0000000000E-01,  2.5000000000E-01
    0.98500000,  1.2500000000E-01,  1.0739245225E-12,  1.0000000000E-01,  2.5000000000E-01
    0.99000000,  1.2500000000E-01,  2.5616612761E-13,  1.0000000000E-01,  2.5000000000E-01
    0.99500000,  1.2500000000E-01,  6.1518560082E-14,  1.0000000000E-01,  2.5000000000E-01
    1.00000000,  1.2500000000E-01,  1.4622232752E-14,  1.0000000000E-01,  2.5000000000E-01
